datetime,interactions,distance_mm,user_flag
2026-07-01T19:01:28.431Z,9,71,false
2026-07-01T19:01:40.710Z,10,71,false
2026-07-01T19:01:45.223Z,11,71,false
2026-07-01T19:01:45.846Z,13,71,false
2026-07-01T19:02:02.906Z,26,70,false
2026-07-01T19:02:03.791Z,28,70,false
2026-07-01T19:02:05.305Z,29,70,false
2026-07-01T19:02:06.808Z,31,70,false
2026-07-01T19:02:08.319Z,33,70,false
2026-07-01T19:02:11.590Z,34,70,false
2026-07-01T19:02:23.456Z,2,69,false
2026-07-01T19:02:26.207Z,3,69,false
2026-07-01T19:02:28.579Z,4,69,false
2026-07-01T19:02:29.080Z,5,69,false
2026-07-01T19:02:31.194Z,6,69,false
2026-07-01T19:02:45.488Z,15,69,false
2026-07-01T19:02:46.979Z,16,69,false
2026-07-01T19:02:48.494Z,17,69,false
2026-07-01T19:02:49.997Z,18,69,false
2026-07-01T19:02:52.993Z,19,69,false
2026-07-01T19:03:06.183Z,73,69,false
2026-07-01T19:03:07.684Z,75,69,false
2026-07-01T19:03:14.303Z,77,69,false
2026-07-01T19:03:27.482Z,2,70,false
2026-07-01T19:03:49.284Z,3,70,false
2026-07-01T19:03:54.990Z,4,70,false
2026-07-01T19:04:11.472Z,8,70,false
2026-07-01T19:04:13.599Z,11,70,false
2026-07-01T19:04:31.007Z,7,71,false
2026-07-01T19:04:31.891Z,19,71,false
2026-07-01T19:04:52.190Z,28,71,false
2026-07-01T19:04:56.715Z,29,71,false
2026-07-01T19:05:14.757Z,31,71,false
2026-07-01T19:05:19.519Z,0,71,false
2026-07-01T19:05:35.428Z,11,71,false
2026-07-01T19:05:43.831Z,21,71,false
2026-07-01T19:05:56.348Z,28,71,false
2026-07-01T19:05:56.978Z,29,71,false
2026-07-01T19:06:04.750Z,30,71,false
2026-07-01T19:06:18.463Z,40,71,false
2026-07-01T19:06:20.578Z,0,71,false
2026-07-01T19:06:39.142Z,5,71,false
2026-07-01T19:06:40.658Z,7,71,false
2026-07-01T19:06:41.537Z,8,71,false
2026-07-01T19:06:42.161Z,9,71,false
2026-07-01T19:06:43.445Z,,,true
2026-07-01T19:06:45.676Z,18,71,false
2026-07-01T19:06:46.551Z,20,71,false
2026-07-01T19:07:00.067Z,24,71,false
2026-07-01T19:07:07.210Z,25,71,false
2026-07-01T19:07:21.618Z,0,71,false
2026-07-01T19:07:24.625Z,1,71,false
2026-07-01T19:07:42.548Z,4,74,false
2026-07-01T19:07:44.047Z,5,74,false
2026-07-01T19:07:49.175Z,6,74,false
2026-07-01T19:08:10.113Z,10,74,false
2026-07-01T19:08:10.981Z,13,74,false
2026-07-01T19:08:25.400Z,0,75,false
2026-07-01T19:08:47.075Z,0,75,false
2026-07-01T19:09:07.758Z,0,75,false
2026-07-01T19:09:29.305Z,0,75,false
2026-07-01T19:09:50.513Z,1,75,false
2026-07-01T19:09:59.483Z,3,75,false
2026-07-01T19:09:59.981Z,4,75,false
2026-07-01T19:10:12.652Z,19,75,false
2026-07-01T19:10:17.173Z,21,75,false
2026-07-01T19:10:19.548Z,23,75,false
2026-07-01T19:10:33.338Z,0,75,false
2026-07-01T19:10:34.839Z,1,75,false
2026-07-01T19:10:37.562Z,17,75,false
